dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.446929,2.411747,14.828544,5.063680,0.368073,-1.837641,0.672931
0.020000,18.525746,2.475551,14.929950,5.070269,0.329469,-1.930158,0.688112
0.020000,18.603672,2.540621,15.031471,5.076052,0.289154,-2.015770,0.703376
0.020000,18.680668,2.606940,15.133091,5.080998,0.247281,-2.093629,0.718710
0.020000,18.756697,2.674489,15.234792,5.085078,0.204027,-2.162718,0.734102
0.020000,18.831722,2.743245,15.336558,5.088270,0.159586,-2.222030,0.749539
0.020000,18.905710,2.813183,15.438369,5.090553,0.114162,-2.271233,0.765009
0.020000,18.978625,2.884277,15.540207,5.091913,0.067976,-2.309273,0.780498
0.020000,19.050436,2.956498,15.642054,5.092338,0.021257,-2.335958,0.795993
0.020000,19.121113,3.029816,15.743890,5.091823,-0.025758,-2.350755,0.811480
0.020000,19.190626,3.104198,15.845697,5.090366,-0.072831,-2.353643,0.826947
0.020000,19.258950,3.179609,15.947457,5.087972,-0.119718,-2.344365,0.842380
0.020000,19.326060,3.256014,16.049150,5.084648,-0.166183,-2.323220,0.857766
0.020000,19.391934,3.333376,16.150758,5.080408,-0.211990,-2.290363,0.873092
0.020000,19.456551,3.411657,16.252263,5.075270,-0.256915,-2.246253,0.888344
0.020000,19.519896,3.490817,16.353649,5.069255,-0.300743,-2.191432,0.903512
0.020000,19.581952,3.570818,16.454896,5.062390,-0.343275,-2.126584,0.918582
0.020000,19.642707,3.651619,16.555990,5.054703,-0.384325,-2.052489,0.933543
0.020000,19.702152,3.733180,16.656915,5.046229,-0.423725,-1.970028,0.948384
0.020000,19.760279,3.815458,16.757655,5.037002,-0.461329,-1.880154,0.963093
0.020000,19.817083,3.898416,16.858196,5.027062,-0.497006,-1.783872,0.977662
0.020000,19.872561,3.982010,16.958525,5.016449,-0.530650,-1.682214,0.992081
0.020000,19.926713,4.066203,17.058629,5.005205,-0.562175,-1.576245,1.006339
0.020000,19.979541,4.150954,17.158497,4.993375,-0.591515,-1.466996,1.020430
0.020000,20.031049,4.236224,17.258117,4.981003,-0.618625,-1.355518,1.034346
0.020000,20.081244,4.321977,17.357480,4.968133,-0.643481,-1.242760,1.048079
0.020000,20.130132,4.408174,17.456576,4.954811,-0.666075,-1.129705,1.061623
0.020000,20.177725,4.494780,17.555397,4.941083,-0.686419,-1.017191,1.074972
0.020000,20.224034,4.581760,17.653937,4.926992,-0.704540,-0.906052,1.088121
0.020000,20.269072,4.669081,17.752189,4.912583,-0.720480,-0.796998,1.101066
0.020000,20.312854,4.756711,17.850147,4.897897,-0.734294,-0.690705,1.113803
0.020000,20.355396,4.844617,17.947806,4.882976,-0.746047,-0.587674,1.126328
0.020000,20.396714,4.932772,18.045164,4.867859,-0.755817,-0.488512,1.138638
0.020000,20.436827,5.021146,18.142215,4.852586,-0.763686,-0.393444,1.150732
0.020000,20.475755,5.109712,18.238959,4.837191,-0.769746,-0.302983,1.162608
0.020000,20.513516,5.198446,18.335393,4.821709,-0.774090,-0.217214,1.174263
0.020000,20.550132,5.287322,18.431517,4.806173,-0.776818,-0.136403,1.185699
0.020000,20.585624,5.376318,18.527329,4.790612,-0.778031,-0.060639,1.196914
0.020000,20.620014,5.465413,18.622830,4.775055,-0.777831,0.009994,1.207908
0.020000,20.653323,5.554585,18.718021,4.759529,-0.776319,0.075624,1.218681
0.020000,20.685574,5.643817,18.812902,4.744057,-0.773596,0.136114,1.229236
0.020000,20.716790,5.733090,18.907475,4.728662,-0.769764,0.191638,1.239572
0.020000,20.746993,5.822388,19.001742,4.713364,-0.764915,0.242422,1.249691
0.020000,20.776206,5.911695,19.095706,4.698181,-0.759148,0.288371,1.259594
0.020000,20.804452,6.000997,19.189369,4.683130,-0.752549,0.329946,1.269284
0.020000,20.831754,6.090280,19.282733,4.668225,-0.745208,0.367065,1.278763
0.020000,20.858134,6.179533,19.375803,4.653481,-0.737204,0.400157,1.288032
0.020000,20.883615,6.268743,19.468581,4.638909,-0.728619,0.429283,1.297095
0.020000,20.908219,6.357901,19.561071,4.624519,-0.719524,0.454745,1.305954
0.020000,20.931968,6.446997,19.653278,4.610319,-0.709989,0.476744,1.314611
0.020000,20.954884,6.536021,19.745204,4.596317,-0.700079,0.495491,1.323069
0.020000,20.976988,6.624966,19.836854,4.582520,-0.689855,0.511220,1.331332
0.020000,20.998302,6.713824,19.928233,4.568933,-0.679371,0.524173,1.339403
0.020000,21.018846,6.802589,20.019344,4.555559,-0.668682,0.534455,1.347283
0.020000,21.038641,6.891254,20.110192,4.542402,-0.657833,0.542443,1.354977
0.020000,21.057707,6.979814,20.200781,4.529465,-0.646869,0.548222,1.362487
0.020000,21.076063,7.068265,20.291116,4.516748,-0.635830,0.551948,1.369817
0.020000,21.093730,7.156600,20.381202,4.504253,-0.624753,0.553855,1.376970
0.020000,21.110726,7.244818,20.471041,4.491980,-0.613670,0.554169,1.383948
0.020000,21.127069,7.332913,20.560640,4.479928,-0.602611,0.552933,1.390756
0.020000,21.142778,7.420883,20.650002,4.468096,-0.591604,0.550341,1.397396
0.020000,21.157870,7.508726,20.739131,4.456482,-0.580672,0.546592,1.403871
0.020000,21.172363,7.596438,20.828033,4.445085,-0.569838,0.541721,1.410184
0.020000,21.186275,7.684018,20.916711,4.433903,-0.559120,0.535877,1.416339
0.020000,21.199620,7.771465,21.005170,4.422932,-0.548535,0.529259,1.422338
0.020000,21.212416,7.858775,21.093413,4.412170,-0.538099,0.521827,1.428184
0.020000,21.224679,7.945949,21.181445,4.401614,-0.527823,0.513792,1.433881
0.020000,21.236424,8.032986,21.269271,4.391259,-0.517720,0.505151,1.439431
0.020000,21.247665,8.119884,21.356893,4.381104,-0.507797,0.496116,1.444837
0.020000,21.258419,8.206643,21.444315,4.371142,-0.498066,0.486560,1.450101
0.020000,21.268698,8.293262,21.531543,4.361372,-0.488531,0.476757,1.455227
0.020000,21.278518,8.379742,21.618579,4.351788,-0.479199,0.466613,1.460217
0.020000,21.287891,8.466083,21.705426,4.342386,-0.470073,0.456288,1.465074
0.020000,21.296832,8.552283,21.792090,4.333163,-0.461158,0.445749,1.469799
0.020000,21.305353,8.638345,21.878572,4.324114,-0.452456,0.435110,1.474397
0.020000,21.313467,8.724267,21.964877,4.315234,-0.443970,0.424310,1.478868
0.020000,21.321186,8.810051,22.051007,4.306521,-0.435698,0.413577,1.483216
0.020000,21.328523,8.895697,22.136966,4.297968,-0.427644,0.402690,1.487443
0.020000,21.335490,8.981205,22.222758,4.289571,-0.419807,0.391865,1.491550
0.020000,21.342097,9.066576,22.308384,4.281328,-0.412186,0.381063,1.495541
0.020000,21.348357,9.151811,22.393849,4.273232,-0.404780,0.370305,1.499416
0.020000,21.354280,9.236911,22.479155,4.265280,-0.397587,0.359611,1.503179
0.020000,21.359877,9.321876,22.564304,4.257468,-0.390607,0.348999,1.506831
0.020000,21.365159,9.406708,22.649300,4.249792,-0.383838,0.338472,1.510374
0.020000,21.370136,9.491407,22.734145,4.242246,-0.377276,0.328080,1.513811
0.020000,21.374819,9.575974,22.818841,4.234828,-0.370920,0.317801,1.517142
0.020000,21.379216,9.660410,22.903392,4.227532,-0.364768,0.307631,1.520369
0.020000,21.383338,9.744716,22.987799,4.220356,-0.358816,0.297608,1.523495
0.020000,21.387195,9.828894,23.072065,4.213295,-0.353061,0.287726,1.526520
0.020000,21.390795,9.912944,23.156192,4.206345,-0.347501,0.277990,1.529447
0.020000,21.394147,9.996867,23.240182,4.199502,-0.342134,0.268378,1.532277
0.020000,21.397261,10.080664,23.324037,4.192763,-0.336954,0.258968,1.535011
0.020000,21.400146,10.164337,23.407760,4.186124,-0.331962,0.249633,1.537651
0.020000,21.402809,10.247886,23.491351,4.179581,-0.327151,0.240530,1.540198
0.020000,21.405259,10.331313,23.574814,4.173130,-0.322521,0.231504,1.542654
0.020000,21.407505,10.414618,23.658149,4.166769,-0.318067,0.222697,1.545020
0.020000,21.409554,10.497802,23.741359,4.160493,-0.313788,0.213963,1.547296
0.020000,21.411415,10.580868,23.824445,4.154300,-0.309679,0.205436,1.549485
0.020000,21.413095,10.663814,23.907409,4.148185,-0.305738,0.197038,1.551587
0.020000,21.414603,10.746643,23.990252,4.142146,-0.301963,0.188749,1.553603
0.020000,21.415944,10.829356,24.072975,4.136179,-0.298351,0.180624,1.555535
0.020000,21.417128,10.911953,24.155581,4.130281,-0.294898,0.172651,1.557383
0.020000,21.418161,10.994436,24.238070,4.124449,-0.291603,0.164760,1.559148
0.020000,21.419051,11.076805,24.320443,4.118679,-0.288462,0.157024,1.560831
0.020000,21.419804,11.159061,24.402703,4.112970,-0.285474,0.149412,1.562434
0.020000,21.420428,11.241204,24.484849,4.107317,-0.282636,0.141891,1.563956
0.020000,21.420930,11.323237,24.566883,4.101718,-0.279946,0.134518,1.565399
0.020000,21.421315,11.405160,24.648807,4.096170,-0.277401,0.127219,1.566763
0.020000,21.421592,11.486973,24.730620,4.090670,-0.275000,0.120040,1.568049
0.020000,21.421767,11.568677,24.812325,4.085215,-0.272741,0.112960,1.569258
0.020000,21.421846,11.650273,24.893921,4.079803,-0.270622,0.105952,1.570390
0.020000,21.421835,11.731761,24.975409,4.074430,-0.268641,0.099060,1.571445
0.020000,21.421742,11.813143,25.056791,4.069094,-0.266797,0.092225,1.572425
0.020000,21.421572,11.894419,25.138067,4.063792,-0.265087,0.085482,1.573330
0.020000,21.421332,11.975589,25.219237,4.058522,-0.263511,0.078803,1.574160
0.020000,21.421029,12.056654,25.300303,4.053281,-0.262067,0.072185,1.574916
0.020000,21.420667,12.137615,25.381264,4.048066,-0.260754,0.065648,1.575598
0.020000,21.420254,12.218471,25.462122,4.042874,-0.259571,0.059145,1.576206
0.020000,21.419795,12.299224,25.542876,4.037704,-0.258517,0.052702,1.576741
0.020000,21.419296,12.379873,25.623527,4.032552,-0.257591,0.046301,1.577203
0.020000,21.418764,12.460420,25.704075,4.027416,-0.256792,0.039940,1.577592
0.020000,21.418204,12.540864,25.784521,4.022294,-0.256120,0.033617,1.577908
0.020000,21.417623,12.621205,25.864865,4.017182,-0.255574,0.027316,1.578151
0.020000,21.417025,12.701445,25.945106,4.012079,-0.255153,0.021042,1.578323
0.020000,21.416417,12.781582,26.025246,4.006982,-0.254857,0.014788,1.578422
0.020000,21.415806,12.861618,26.105284,4.001888,-0.254686,0.008543,1.578449
0.020000,21.415195,12.941551,26.185220,3.996796,-0.254640,0.002307,1.578403
0.020000,21.414592,13.021383,26.265054,3.991701,-0.254719,-0.003927,1.578285
0.020000,21.414002,13.101113,26.344786,3.986603,-0.254922,-0.010163,1.578095
0.020000,21.413431,13.180741,26.424416,3.981498,-0.255250,-0.016412,1.577833
0.020000,21.412884,13.260266,26.503943,3.976384,-0.255704,-0.022672,1.577498
0.020000,21.412368,13.339690,26.583369,3.971258,-0.256283,-0.028946,1.577090
0.020000,21.411887,13.419011,26.662691,3.966118,-0.256988,-0.035260,1.576610
0.020000,21.411448,13.498229,26.741910,3.960962,-0.257820,-0.041589,1.576056
0.020000,21.411056,13.577344,26.821026,3.955786,-0.258779,-0.047959,1.575429
